"3","Riesenkolben","50","accessories_Riesenkolben.png","accessoires"
"4","Brille","100","accessoires_Brille.png","accessoires"
"5","Sonnenbrille","200","accessories_Sonnenbrille.png","accessoires"
"6","Galaxienbrille","300","accessories_Galaxienbrille.png","accessoires"
"7","Lakritztapete","25","wallpapers_cyan.png","wallpapers"
"8","Sonnentapete","50","wallpapers_gelb.png","wallpapers"
"9","Himbeertapete","75","wallpapers_pink.png","wallpapers"
"10","Blaubeertapete","100","wallpapers_lila.png","wallpapers"
"11","Lakritz-Sterntapete","125","wallpapers_cyanPremium.png","wallpapers"
"12","Sonnen-Sterntapete","150","wallpapers_gelbPremium.png","wallpapers"
"13","Seifenblasentapete","175","wallpapers_Seifenblasen.png","wallpapers"
"14","Landhaus","300","wallpapers_Landhaus.png","wallpapers"
"15","Strandhaus","350","wallpapers_Strandhaus.png","wallpapers"
"16","Grauer Anzug mit Krawatte","200","clothing_GrauerAnzugMitKrawatte.png","clothing"
"17","Grauer Anzug mit Fliege","250","clothing_GrauerAnzugMitFliege.png","clothing"
"18","Schwarzer Anzug mit Krawatte","300","clothing_SchwarzerAnzugMitKrawatte.png","clothing"
"19","Schwarzer Anzug mit Fliege","350","clothing_SchwarzerAnzugMitFliege.png","clothing"
"20","Weißer Anzug mit Krawatte","400","clothing_WeisserAnzugMitKrawatte.png","clothing"
"21","Weißer Anzug mit Fliege","450","clothing_WeisserAnzugMitFliege.png","clothing"
"22","Latzhose","500","clothing_Latzhose.png","clothing"
"23","Vanille","0","color_Vanille.png","color"
"24","Blaubeere","100","color_Blaubeere.png","color"
"25","Erdbeere","100","color_Erdbeere.png","color"
"26","Himbeere","100","color_Himbeere.png","color"
"27","Kaffee","100","color_Kaffee.png","color"
"28","Marzipan","100","color_Marzipan.png","color"
"29","Melone","100","color_Melone.png","color"
"30","Orange","100","color_Orange.png","color"
"31","Pistazie","100","color_Pistazie.png","color"
"32","Schokolade","100","color_Schokolade.png","color"
"33","Traube","100","color_Traube.png","color"
"34","Zitrone","100","color_Zitrone.png","color"
"35","Trainingsanzug","200","costume_Jogger.png","costume"
"36","Darth Vader","500","costume_DarthVader.png","costume"
"37","Mario","500","costume_Mario.png","costume"
"38","Naruto","500","costume_Naruto.png","costume"
"39","Superman","300","costume_Superman.png","costume"
"40","normal","0","eyes_erstaunt.png","eyes"
"41","zwinkernd","50","eyes_zwinkernd.png","eyes"
"42","müde","75","eyes_Augenringe.png","eyes"
"43","K.O.","100","eyes_ko.png","eyes"
"44","glücklich","200","eyes_gluecklich.png","eyes"
"45","Fischerhut beige","100","hat_FischerhutBeige.png","hat"
"46","Fischerhut türkis","100","hat_FischerhutTuerkis.png","hat"
"47","Beanie","200","hat_Beanie.png","hat"
"48","Kopfhörer","250","hat_Kopfhoerer.png","hat"
"49","Sommersprossen","100","merkmale_Sommersprossen.png","merkmale"
"50","Ringe","200","merkmale_Ringe.png","merkmale"
"51","Spinnennetze","300","merkmale_Spinnennetze.png","merkmale"
"52","grinsend","0","mouth_grinsend.png","mouth"
"53","lächelnd","25","mouth_laechelnd.png","mouth"
"54","pfeifend","50","mouth_pfeifend.png","mouth"
"55","glücklich","75","mouth_gluecklich.png","mouth"
"56","Kawaii","100","mouth_Kawaii.png","mouth"
"57","schreiend","125","mouth_schreiend.png","mouth"
"58","lachend","150","mouth_lachend.png","mouth"
